Genotype;SampleID;Replicate;Daystreatment;Compound;Condition
AD5 iso;N1_CyPPA_D0;1;30;CyPPA;CyPPA_D0
AD5 iso;N1_CyPPA_D7;1;23;CyPPA;CyPPA_D7
AD5 iso;N1_CyPPA_D14;1;16;CyPPA;CyPPA_D14
AD5 iso;N1_DMSO_D0;1;30;DMSO;DMSO_D0
AD5 iso;N1_DMSO_D7;1;23;DMSO;DMSO_D7
AD5 iso;N1_DMSO_D14;1;16;DMSO;DMSO_D14
AD5 iso;N1_EBIO_D0;1;30;EBIO;EBIO_D0
AD5 iso;N1_EBIO_D7;1;23;EBIO;EBIO_D7
AD5 iso;N1_EBIO_D14;1;16;EBIO;EBIO_D14
AD5 iso;N2_CyPPA_D0;2;30;CyPPA;CyPPA_D0
AD5 iso;N2_CyPPA_D7;2;23;CyPPA;CyPPA_D7
AD5 iso;N2_CyPPA_D14;2;16;CyPPA;CyPPA_D14
AD5 iso;N2_DMSO_D0;2;30;DMSO;DMSO_D0
AD5 iso;N2_DMSO_D7;2;23;DMSO;DMSO_D7
AD5 iso;N2_DMSO_D14;2;16;DMSO;DMSO_D14
AD5 iso;N2_EBIO_D0;2;30;EBIO;EBIO_D0
AD5 iso;N2_EBIO_D7;2;23;EBIO;EBIO_D7
AD5 iso;N2_EBIO_D14;2;16;EBIO;EBIO_D14
AD5 iso;N3_CyPPA_D0;3;30;CyPPA;CyPPA_D0
AD5 iso;N3_CyPPA_D7;3;23;CyPPA;CyPPA_D7
AD5 iso;N3_CyPPA_D14;3;16;CyPPA;CyPPA_D14
AD5 iso;N3_DMSO_D0;3;30;DMSO;DMSO_D0
AD5 iso;N3_DMSO_D7;3;23;DMSO;DMSO_D7
AD5 iso;N3_DMSO_D14;3;16;DMSO;DMSO_D14
AD5 iso;N3_EBIO_D0;3;30;EBIO;EBIO_D0
AD5 iso;N3_EBIO_D7;3;23;EBIO;EBIO_D7
AD5 iso;N3_EBIO_D14;3;16;EBIO;EBIO_D14